172.217.6.205,accounts.google.com
172.217.9.238,ogs.google.com
172.217.3.98,googleads.g.doubleclick.net
172.217.3.99,www.gstatic.com
172.217.10.131,ssl.gstatic.com
172.217.12.206,apis.google.com
172.217.10.46,play.google.com
52.114.36.4,v10.events.data.microsoft.com
151.101.1.67,www.cnn.com
152.195.33.69,cdn.cookielaw.org
74.119.119.131,static.criteo.net
23.10.93.204,cdn.cnn.com
3.232.15.196,agility.cnn.com
152.195.33.69,cdn.cookielaw.org
172.217.12.130,www.googletagservices.com
151.101.1.67,www.i.cdn.cnn.com
23.193.216.210,amplify.outbrain.com
13.33.83.104,c.amazon-adsystem.com
23.10.93.204,cdn.cnn.com
104.17.64.4,cdnjs.cloudflare.com
23.193.217.189,livetileedge.dsx.mp.microsoft.com
152.195.33.69,cdn.cookielaw.org
152.195.33.69,cdn.cookielaw.org
23.193.217.21,contextual.media.net
23.78.209.172,cdn3.optimizely.com
104.18.253.222,widgets.tree.com
35.244.144.168,tag.bounceexchange.com
104.26.2.116,tru.am
204.79.197.200,bat.bing.com
99.84.114.200,static.chartbeat.com
143.204.147.16,cdn.boomtrain.com
151.101.200.157,static.ads-twitter.com
23.193.216.210,widgets.outbrain.com
143.204.144.83,cdn.segment.com
172.217.10.34,securepubads.g.doubleclick.net
104.16.88.20,cdn.jsdelivr.net
54.246.111.145,a.wunderlist.com
3.231.125.122,www.ugdturner.com
143.204.147.85,cdn.adsafeprotected.com
54.246.111.145,a.wunderlist.com
23.193.216.69,js-sec.indexww.com
151.101.0.175,cdn.krxd.net
104.17.64.4,cdnjs.cloudflare.com
68.67.160.132,ib.adnxs.com
208.185.50.98,fastlane.rubiconproject.com
3.225.3.31,segment-data-us-east.zqtk.net
209.197.3.15,maxcdn.bootstrapcdn.com
23.78.199.149,a125375509.cdn.optimizely.com
94.237.121.81,cnn.sdk.beemray.com
208.185.50.98,fastlane.rubiconproject.com
208.185.50.98,fastlane.rubiconproject.com
208.185.50.98,fastlane.rubiconproject.com
172.217.10.72,www.googletagmanager.com
104.20.184.68,geolocation.onetrust.com
13.33.83.104,c.amazon-adsystem.com
52.72.191.53,people.api.boomtrain.com
23.193.217.127,tcheck.outbrainimg.com
34.98.72.95,assets.bounceexchange.com
54.246.111.145,a.wunderlist.com
54.246.111.145,a.wunderlist.com
54.246.111.145,a.wunderlist.com
137.221.106.111,cache-cms-ext-us.battle.net
35.169.87.101,pixel.adsafeprotected.com
35.190.72.21,api.rlcdn.com
3.214.153.177,match.adsrvr.org
54.88.45.3,mid.rkdms.com
64.202.112.95,log.outbrainimg.com
34.226.71.106,w.usabilla.com
151.101.2.202,mab.chartbeat.com
52.70.14.8,logx.optimizely.com
104.244.42.69,t.co
50.31.142.63,amplifypixel.outbrain.com
3.213.23.99,events.api.boomtrain.com
50.31.142.63,tr.outbrain.com
52.35.195.250,api.segment.io
34.234.23.242,smetrics.cnn.com
104.84.148.238,sb.scorecardresearch.com
52.22.92.131,secure-us.imrworldwide.com
151.101.0.175,consumer.krxd.net
104.19.146.29,www.lendingtree.com
172.217.10.78,www.google-analytics.com
151.101.2.2,odb.outbrain.com
64.202.112.95,mcdp-nydc1.outbrain.com
72.21.206.140,s.amazon-adsystem.com
23.193.216.210,widgets.outbrain.com
23.193.216.210,widgets.outbrain.com
64.202.112.95,mcdp-nydc1.outbrain.com
23.193.216.210,widgets.outbrain.com
23.193.217.127,images.outbrainimg.com
23.193.216.210,widgets.outbrain.com
23.193.216.210,widgets.outbrain.com
23.193.217.121,images2.zemanta.com
23.193.217.127,images.outbrainimg.com
23.193.217.121,images2.zemanta.com
64.202.112.95,b1sync.zemanta.com
104.16.15.243,cd.navdmp.com
34.226.29.7,beacon.krxd.net
23.10.89.229,tags.bluekai.com
172.217.6.226,cm.g.doubleclick.net
34.198.60.128,dpm.demdex.net
63.251.88.56,aa.agkn.com
74.119.119.150,dis.criteo.com
192.132.33.46,bttrack.com
147.75.39.192,loadus.exelator.com
52.168.140.71,px.powerlinks.com
35.207.24.140,rtb.mfadsrvr.com
54.156.21.12,id.geistm.com
35.211.99.204,x.bidswitch.net
34.197.192.192,ps.eyeota.net
185.184.8.30,creativecdn.com
104.84.148.238,sb.scorecardresearch.com
85.114.159.118,dsp.adfarm1.adition.com
64.202.112.95,sync.outbrain.com
64.202.112.95,sync.outbrain.com
64.202.112.95,mcdp-nydc1.outbrain.com
195.181.169.26,load77.exelator.com
64.202.112.95,b1-nydc1.zemanta.com
64.202.112.95,b1t-nydc1.zemanta.com
35.211.99.204,bsw.digitru.st
52.196.218.160,sync-jp.im-apps.net
64.202.112.127,amplify-imp.outbrain.com
104.84.148.238,sb.scorecardresearch.com
64.202.112.95,b1-nydc1.zemanta.com
64.202.112.95,b1t-nydc1.zemanta.com
64.202.112.127,amplify-imp.outbrain.com
104.84.148.238,sb.scorecardresearch.com
35.211.114.141,us-east-sync.bidswitch.net
64.202.112.95,mcdp-nydc1.outbrain.com
35.211.114.141,us-east-sync.bidswitch.net
216.223.26.50,ads.revjet.com
23.193.217.127,images.outbrainimg.com
23.193.217.127,images.outbrainimg.com
64.202.112.95,mcdp-nydc1.outbrain.com
107.178.254.65,pippio.com
64.202.112.95,mcdp-nydc1.outbrain.com
64.202.112.95,mcdp-nydc1.outbrain.com
162.223.54.6,tag.apxlv.com
3.224.142.63,tag.cogocast.net
64.202.112.95,mcdp-nydc1.outbrain.com
64.202.112.95,mcdp-nydc1.outbrain.com
64.202.112.95,mcdp-nydc1.outbrain.com
64.202.112.95,mcdp-nydc1.outbrain.com
64.202.112.95,mcdp-nydc1.outbrain.com
35.169.87.101,pixel.adsafeprotected.com
23.193.216.210,libs.outbrain.com
137.83.58.13,gpush.cogocast.net
64.202.112.95,mcdp-nydc1.outbrain.com
70.42.32.127,widgetmonitor.outbrain.com
64.202.112.127,amplify-imp.outbrain.com
64.202.112.95,b1-nydc1.zemanta.com
143.204.147.56,static.adsafeprotected.com
64.202.112.95,b1t-nydc1.zemanta.com
64.202.112.127,amplify-imp.outbrain.com
64.202.112.95,b1-nydc1.zemanta.com
64.202.112.31,amplify-imp.outbrain.com
