13.225.210.71,d2c1jr6opk2w5u.cloudfront.net
104.126.112.195,code.createjs.com
205.185.216.10,cdn.flashtalking.com
205.185.216.10,cdn.flashtalking.com
205.185.216.10,cdn.flashtalking.com
104.17.64.4,cdnjs.cloudflare.com
74.125.172.25,r3---sn-ab5szn7e.c.2mdn.net
204.79.197.200,c.bing.com
50.116.194.21,ad.turn.com
13.225.62.80,cm.smadex.com
70.42.32.31,s.outbrain.com
3.225.38.203,d9.flashtalking.com
23.111.8.18,vpaid.doubleverify.com
31.13.66.63,scontent-iad3-1.cdninstagram.com
34.199.191.54,prebid-a.rubiconproject.com
3.132.72.180,tracker.tagsrvcs.com
204.154.111.104,tps.doubleverify.com
104.193.83.157,opx2waycm-atl.netmng.com
52.18.172.55,s.cpx.to
204.154.111.104,tps.doubleverify.com
204.13.192.120,m.adnxs.com
74.119.119.150,dis.criteo.com
35.190.90.30,odr.mookie1.com
68.67.179.165,ib.adnxs.com
204.13.192.120,m.adnxs.com
204.13.192.120,m.adnxs.com
68.67.179.165,ib.adnxs.com
68.67.179.165,ib.adnxs.com
68.67.179.165,ib.adnxs.com
204.154.111.105,tps10267.doubleverify.com
52.7.131.174,rtb.adentifi.com
52.7.131.174,rtb.adentifi.com
52.7.131.174,rtb.adentifi.com
52.7.131.174,rtb.adentifi.com
52.7.131.174,rtb.adentifi.com
35.190.72.161,www.fqtag.com
151.101.66.49,opps.taboola.com
34.95.78.255,rtb-us-east1.openx.net
23.10.89.229,tags.bluekai.com
63.251.88.56,aa.agkn.com
205.185.216.10,cdn.flashtalking.com
205.185.216.10,cdn.flashtalking.com
3.220.94.65,sync.crwdcntrl.net
68.67.179.165,ib.adnxs.com
52.0.132.68,l.betrad.com
104.244.36.20,dt.adsafeprotected.com
185.167.164.43,c1.adform.net
204.154.111.104,tps.doubleverify.com
172.217.10.78,fcmatch.google.com
34.194.7.174,vastlog.adsafeprotected.com
3.216.201.19,evtvpaid.bfmio.com
34.195.90.184,evt.bfmio.com
34.228.51.131,s-vop.sundaysky.com
34.228.51.131,s-vop.sundaysky.com
34.228.51.131,s-vop.sundaysky.com
34.228.51.131,s-vop.sundaysky.com
34.228.51.131,s-vop.sundaysky.com
172.217.10.142,fcmatch.youtube.com
68.67.179.165,ib.adnxs.com
104.244.36.20,dt.adsafeprotected.com
204.154.111.105,tps10262.doubleverify.com
18.206.31.5,s.update.tas.yieldmo.com
204.154.111.104,tps10224.doubleverify.com
204.154.111.105,tps10210.doubleverify.com
204.154.111.105,tps10239.doubleverify.com
13.225.62.9,static.u.gg
13.225.62.16,stats2.u.gg
17.253.97.206,c.apple.news
